START START carvalho 1
TERRENO COMUM A 1
TERRENO COMUM A 2
EXTRA EXTRA EXTRA 1
TERRENO COMUM A 3
TERRENO PRAIA N 1
TERRENO COMUM B 1
TERRENO COMUM B 2
EXTRA EXTRA EXTRA 1
TERRENO COMUM B 3

CADEIA CADEIA pillager 1
TERRENO COMUM C 1
TERRENO COMUM C 2
EXTRA EXTRA EXTRA 1
TERRENO COMUM C 3
TERRENO PRAIA N 2
TERRENO COMUM D 1
TERRENO COMUM D 2
EXTRA EXTRA EXTRA 1
TERRENO COMUM D 3

ATUALIZACAO ATUALIZACAO mojang 1
TERRENO COMUM E 1
TERRENO COMUM E 2
EXTRA EXTRA EXTRA 1
TERRENO COMUM E 3
TERRENO PRAIA N 3
TERRENO COMUM F 1
TERRENO COMUM F 2
EXTRA EXTRA EXTRA 1
TERRENO COMUM F 3

TELEPORTE TELEPORTE portal 1
TERRENO COMUM G 1
TERRENO COMUM G 2
EXTRA EXTRA EXTRA 1
TERRENO COMUM G 3
TERRENO PRAIA N 4
TERRENO COMUM H 1
TERRENO COMUM H 2
EXTRA EXTRA EXTRA 1
TERRENO COMUM H 3
